Estado,Casos
Artigas,1828
Salto,695
Paysandú,505
Río Negro,327
Soriano,305
Colonia,276
San José,233
Flores,214
Montevideo,178
Canelones,166
Florida,159
Durazno,131
Tacuarembó,112
Rivera,108
Maldonado,100
Lavalleja,96
Treinta y Tres,117
Cerro Largo,84
Rocha,100
