Estado,Casos
Baja California,
Baja California Sur,
Sonora,
Chihuahua,
Sinaloa,
Coahuila,
Durango,
Nayarit,
Zacatecas,
Aguascalientes,
Nuevo León,
San Luis Potosí,
Jalisco,
Colima,
Michoacán,
Guanajuato,
Querétaro,
Tamaulipas,
Veracruz,
Hidalgo,
México,
Guerrero,
Morelos,
Ciudad de México,
Tlaxcala,
Puebla,
Oaxaca,
Chiapas,
Tabasco,
Campeche,
Yucatán,
Quintana Roo,
